cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,0.7,0.7,0.1,0.24150919914245605,2.3603439331054688e-05,0.2686951160430908,2.3603439331054688e-05,latency_loss,0.577,0.577,0.4296146631240845,4
1,1,1Gi,1.0,0.7,0.4,1.0,0.2355213165283203,1.5735626220703125e-05,0.4171736240386963,1.1920928955078125e-06,latency_loss,0.729,0.729,0.4024029731750488,0
1,1,1Gi,1.0,0.7,0.4,1.0,0.2352147102355957,9.775161743164062e-06,0.2986176013946533,1.1920928955078125e-06,latency_loss,0.652,0.652,0.35466978549957273,1
1,1,1Gi,1.0,0.7,0.4,1.0,0.2341618537902832,1.3828277587890625e-05,0.3078489303588867,1.1920928955078125e-06,latency_loss,0.617,0.617,0.3573122978210449,2
1,1,1Gi,1.0,0.7,0.4,1.0,0.23645853996276855,1.7642974853515625e-05,0.3191947937011719,1.1920928955078125e-06,latency_loss,0.629,0.629,0.3641499996185303,3
1,1,1Gi,1.0,0.7,0.4,1.0,0.23497557640075684,1.7404556274414062e-05,0.3092970848083496,9.5367431640625e-07,latency_loss,0.679,0.679,0.3587075471878052,4
1,1,1Gi,1.0,0.7,0.4,0.7,0.255387544631958,1.5974044799804688e-05,0.3180093765258789,1.9073486328125e-06,latency_loss,0.665,0.665,0.38260381221771245,0
1,1,1Gi,1.0,0.7,0.4,0.7,0.23852896690368652,1.3113021850585938e-05,0.30585718154907227,1.6689300537109375e-06,latency_loss,0.618,0.618,0.3608821868896484,1
1,1,1Gi,1.0,0.7,0.4,0.7,0.23382854461669922,1.621246337890625e-05,0.3054392337799072,2.1457672119140625e-06,latency_loss,0.609,0.609,0.3560170888900757,2
1,1,1Gi,1.0,0.7,0.4,0.7,0.23875761032104492,1.2874603271484375e-05,0.3668205738067627,1.430511474609375e-06,latency_loss,0.724,0.724,0.3854958534240723,3
1,1,1Gi,1.0,0.7,0.4,0.7,0.25752782821655273,1.33514404296875e-05,0.31839823722839355,3.337860107421875e-06,latency_loss,0.658,0.658,0.3848988056182861,4
1,1,1Gi,1.0,0.7,0.4,0.4,0.24245476722717285,1.5497207641601562e-05,0.29688096046447754,1.9073486328125e-06,latency_loss,0.607,0.607,0.3612187623977661,0
1,1,1Gi,1.0,0.7,0.4,0.4,0.23397326469421387,1.0013580322265625e-05,0.339296817779541,2.1457672119140625e-06,latency_loss,0.648,0.648,0.36969985961914065,1
1,1,1Gi,1.0,0.7,0.4,0.4,0.23685598373413086,7.3909759521484375e-06,0.3154771327972412,3.0994415283203125e-06,latency_loss,0.629,0.629,0.36305325031280516,2
1,1,1Gi,1.0,0.7,0.4,0.4,0.24179410934448242,1.2874603271484375e-05,0.31026792526245117,1.9073486328125e-06,latency_loss,0.672,0.672,0.36591105461120604,3
1,1,1Gi,1.0,0.7,0.4,0.4,0.23707818984985352,1.430511474609375e-05,0.35785984992980957,1.6689300537109375e-06,latency_loss,0.712,0.712,0.38023281097412115,4
1,1,1Gi,1.0,0.7,0.4,0.1,0.23857688903808594,1.6450881958007812e-05,0.46773695945739746,3.337860107421875e-06,latency_loss,0.782,0.782,0.4256835222244263,0
1,1,1Gi,1.0,0.7,0.4,0.1,0.23763656616210938,9.298324584960938e-06,0.29838061332702637,2.1457672119140625e-06,latency_loss,0.609,0.609,0.3569955348968506,1
1,1,1Gi,1.0,0.7,0.4,0.1,0.23494839668273926,1.1444091796875e-05,0.31729888916015625,2.1457672119140625e-06,latency_loss,0.684,0.684,0.36187617778778075,2
1,1,1Gi,1.0,0.7,0.4,0.1,0.24020981788635254,1.33514404296875e-05,0.30940794944763184,2.384185791015625e-06,latency_loss,0.665,0.665,0.3639825820922852,3
1,1,1Gi,1.0,0.7,0.4,0.1,0.4258248805999756,1.3828277587890625e-05,0.30780601501464844,2.1457672119140625e-06,latency_loss,0.871,0.871,0.5489571809768677,4
